date,price
24.8s,2.0
24.8s,3.0
24.8s,5.0
24.8s,6.0
28.2s,8.0
29.1s,9.0
29.9s,10.0
30.6s,11.0
30.8s,12.0
30.8s,13.0
30.8s,14.0
30.8s,15.0
30.8s,16.0
30.8s,17.0
30.8s,18.0
30.8s,19.0
30.8s,20.0
30.8s,21.0
30.8s,22.0
30.8s,23.0
30.8s,24.0
30.8s,25.0
55.5s,27.0
56.6s,28.0
56.6s,29.0
56.6s,30.0
56.6s,31.0
56.6s,32.0
56.6s,33.0
56.6s,34.0
56.6s,35.0
56.6s,36.0
56.6s,37.0
56.6s,38.0
56.6s,39.0
56.6s,40.0
56.6s,41.0
56.6s,42.0
56.6s,43.0
56.6s,44.0
56.6s,45.0
56.6s,46.0
56.6s,47.0
56.6s,48.0
56.6s,49.0
56.6s,50.0
56.6s,51.0
56.6s,52.0
56.6s,53.0
56.6s,54.0
56.6s,55.0
56.6s,56.0
56.6s,57.0
56.6s,58.0
56.6s,59.0
56.6s,60.0
56.6s,61.0
56.6s,62.0
56.6s,63.0
56.6s,64.0
56.6s,65.0
56.6s,66.0
62.8s,67.0
63.0s,68.0
63.5s,69.0
63.7s,70.0
120.2s,71.0
120.2s,72.0
209.7s,73.0
209.7s,74.0
209.7s,75.0
209.7s,76.0
209.7s,77.0
209.7s,78.0
216.7s,79.0
216.7s,80.0
216.7s,81.0
217.3s,82.0
219.8s,83.0
219.8s,84.0
219.8s,85.0
220.7s,86.0
220.7s,87.0
220.7s,88.0
220.7s,89.0
220.7s,90.0
220.7s,91.0
220.7s,92.0
220.7s,93.0
220.7s,94.0
220.7s,95.0
220.7s,96.0
220.7s,97.0
220.7s,98.0
220.7s,99.0
220.7s,100.0
220.7s,101.0
